title,targets,authors
Performance analysis and code optimization of low density parity-check codes on Rayleigh fading channels,Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC Codes,"Jilei Hou,Paul H. Siegel,Laurence B. Milstein","Jie Huang,Shengli Zhou,Peter Willett"
Capacity-Achieving Rateless Polar Codes,Capacity-Achieving Rate-Compatible Polar Codes,"Bin Li,David Tse,Kai Chen,Hui Shen","Song-Nam Hong,Dennis Hui,Ivana Maric"
Low-density parity check codes over GF(q),Design of LDPC decoders for improved low error rate performance: quantization and algorithm choices,"Matthew C. Davey,David J. C. MacKay","Zhengya Zhang,Lara Dolecek,Borivoje Nikolic,Venkat Anantharam,Martin J. Wainwright"
Low-density parity check codes over GF(q),Distributed Source Coding Techniques for Lossless Compression of Hyperspectral Images,"Matthew C. Davey,David J. C. MacKay","Enrico Magli,Mauro Barni,Andrea Abrardo,Marco Grangetto"
Low-density parity check codes over GF(q),Performing scalable lossy compression on pixel encrypted images,"Matthew C. Davey,David J. C. MacKay","Xiangui Kang,Anjie Peng,Xianyu Xu,Xiaochun Cao"
Low-density parity check codes over GF(q),Low-Density Parity-Check Code with Fast Decoding Speed,"Matthew C. Davey,David J. C. MacKay","Xudong Ma,En-Hui Yang"
Low-density parity check codes over GF(q),Convergence of Weighted Min-Sum Decoding Via Dynamic Programming on Trees,"Matthew C. Davey,David J. C. MacKay","Yung-Yih Jian,Henry D. Pfister"
Low-density parity check codes over GF(q),A more accurate one-dimensional analysis and design of irregular LDPC codes,"Matthew C. Davey,David J. C. MacKay","Masoud Ardakani,Frank R. Kschischang"
Low-density parity check codes over GF(q),Opportunistic Error Correction for MIMO-OFDM: From Theory to Practice,"Matthew C. Davey,David J. C. MacKay","Xiaoying Shao,Cornelis H. Slump"
Low-density parity check codes over GF(q),Hybrid Decoding of Finite Geometry LDPC Codes,"Matthew C. Davey,David J. C. MacKay","Guangwen Li,Dashe Li,Yuling Wang,Wenyan Sun"
Low-density parity check codes over GF(q),On the Enhancement of Ldpc Codes Used in Wimax,"Matthew C. Davey,David J. C. MacKay","Khaled Elmahgoub,Mohammed Nafie"
Low-density parity check codes over GF(q),Joint Decoding of LDPC Code and Phase Factors for OFDM Systems With PTS PAPR Reduction,"Matthew C. Davey,David J. C. MacKay","Li Li,Daiming Qu"
Low-density parity check codes over GF(q),Multi-user Detection Schemes for TH PPM UWB System using LDPC Codes,"Matthew C. Davey,David J. C. MacKay","M A Jayasheela,Rajeswari"
Low-density parity check codes over GF(q),Spinal codes,"Matthew C. Davey,David J. C. MacKay","Jonathan Perry,Peter Iannucci,Kermin Fleming,Hari Balakrishnan,Devavrat Shah"
Low-density parity check codes over GF(q),Matrix Merging Scheme and Efficient Decoding Techniques for Reconfigurable QC-LDPC Decoders,"Matthew C. Davey,David J. C. MacKay","Min-An Chao,Xin-Yu Shih,An-Yeu Wu"
Low-density parity check codes over GF(q),Finding the Exhaustive List of Small Fully Absorbing Sets and Designing the Corresponding Low Error-Floor Decoder,"Matthew C. Davey,David J. C. MacKay","Gyu Bum Kyung,Chih-Chun Wang"
Low-density parity check codes over GF(q),Quantum Belief Propagation Algorithm versus Suzuki-Trotter approach in the one-dimensional Heisenberg chains,"Matthew C. Davey,David J. C. MacKay","Farzad Ghafari Jouneghani,Mohamad Babazadeh,Davoud Salami,Hossein Movla"
Low-density parity check codes over GF(q),Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Model-code Separation Architectures for Compression Based on Message-passing Contents,"Matthew C. Davey,David J. C. MacKay","Ying-Zong Huang,Gregory W Wornell,Robert Gray,Abbas El Gamal,Brian Wandell,Stanford University"
Low-density parity check codes over GF(q),Low-Complexity LDPC Codes with Near-Optimum Performance over the BEC,"Matthew C. Davey,David J. C. MacKay","Enrico Paolini,Gianluigi Liva,Michela Varrella,Balázs Matuz,Marco Chiani"
Low-density parity check codes over GF(q),Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel,"Matthew C. Davey,David J. C. MacKay","Enrico Paolini,Marc P. C. Fossorier,Marco Chiani"
Low-density parity check codes over GF(q),Enhancing Binary Images of Non-Binary LDPC Codes,"Matthew C. Davey,David J. C. MacKay","Aman Bhatia,Aravind R. Iyengar,Paul H. Siegel"
Low-density parity check codes over GF(q),Multi-non-binary turbo codes,"Matthew C. Davey,David J. C. MacKay","Horia Balta,Catherine Douillard,Radu Lucaciu"
Low-density parity check codes over GF(q),On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,"Matthew C. Davey,David J. C. MacKay","Sae-Young Chung,G. David Forney,Thomas J. Richardson,Rüdiger L. Urbanke"
Low-density parity check codes over GF(q),Gallager error-correcting codes for binary asymmetric channels,"Matthew C. Davey,David J. C. MacKay","I Neri,N S Skantzos,D Bollé"
Low-density parity check codes over GF(q),Performance Comparison of Ldpc Codes Using Srk Equalisation and Ofdm Techniques for Broadband Fixed Wireless Access Systems,"Matthew C. Davey,David J. C. MacKay","M K Khan,R A Carrasco,I J Wassell,J A Neasham"
Low-density parity check codes over GF(q),Designing Very Good Low-density Parity-check Codes for the Gilbert-elliott Channel,"Matthew C. Davey,David J. C. MacKay","Andrew W Eckford,Frank R Kschischang,Subbarayan Pasupathy"
Low-density parity check codes over GF(q),Finite-length Scaling Laws for Iterative Coding Systems Finite-length Scaling Laws for Iterative Coding Systems,"Matthew C. Davey,David J. C. MacKay","Jérémie Ezri,Ruediger Urbanke"
